identifier,amount,execution-date,reference,category,account-of-receiver,account-of-creator
409,932.37,2020-11-05T10:49:31.641870,booking.com,vacation,DE76894768662419673111,DE29354508073743831293
447,722.23,2021-04-06T10:49:31.641870,CordoBar,food,DE67444719107381296569,DE29354508073743831293
458,7.34,2020-03-16T10:49:31.641870,thanks,transfer,DE46175649932131791856,DE29354508073743831293
466,697.66,2022-01-18T10:49:31.641870,Zur Letzten Instanz,food,DE70334119137743514093,DE29354508073743831293
659,851.22,2020-02-04T10:49:31.641870,Lokal,food,DE50493093512418563495,DE29354508073743831293
677,71.69,2021-02-25T10:49:31.641870,ryanair,vacation,DE98578335434393251543,DE29354508073743831293
722,572.68,2020-12-16T10:49:31.641870,Lokal,food,DE92648558961468741310,DE29354508073743831293
744,49.49,2019-09-11T10:49:31.641870,hotels.com,vacation,DE46175649932131791856,DE29354508073743831293
755,523.46,2021-03-19T10:49:31.642256,Pauly Saal,food,DE28254691836878919381,DE29354508073743831293
762,961.11,2020-05-01T10:49:31.641870,Aldi,supermarket,DE70334119137743514093,DE29354508073743831293
785,836.93,2022-01-28T10:49:31.641870,Zalando,clothes,DE22170806079195028710,DE29354508073743831293
788,867.13,2021-07-30T10:49:31.641870,thanks,transfer,DE28571102327654896575,DE29354508073743831293
813,714.55,2020-11-24T10:49:31.641870,booking.com,vacation,DE65403466947923029055,DE29354508073743831293
832,801.23,2020-05-24T10:49:31.641870,easyjet,vacation,DE22170806079195028710,DE29354508073743831293
879,238.71,2020-04-06T10:49:31.641870,hotels.com,vacation,DE20117978677399847042,DE29354508073743831293
897,493.74,2020-07-16T10:49:31.641870,Lokal,food,DE50139821739297986888,DE29354508073743831293
940,197.43,2022-03-10T10:49:31.641870,Aldi,supermarket,DE51728838437501118370,DE29354508073743831293
942,346.40,2020-07-19T10:49:31.641870,hotels.com,vacation,DE46175649932131791856,DE29354508073743831293
947,938.90,2021-07-27T10:49:31.641870,thanks,transfer,DE51728838437501118370,DE29354508073743831293
972,330.49,2019-09-04T10:49:31.641870,Pauly Saal,food,DE22170806079195028710,DE29354508073743831293
975,145.52,2021-12-06T10:49:31.641870,hotels.com,vacation,DE50139821739297986888,DE29354508073743831293
1004,583.54,2020-04-27T10:49:31.641870,Esprit,clothes,DE50139821739297986888,DE29354508073743831293
1018,9.68,2019-12-25T10:49:31.641870,Zalando,clothes,DE46175649932131791856,DE29354508073743831293
1020,72.65,2021-01-14T10:49:31.641870,ryanair,vacation,DE33510125629974889896,DE29354508073743831293
1043,462.79,2020-03-23T10:49:31.641870,Edeka,supermarket,DE28571102327654896575,DE29354508073743831293
1049,507.89,2021-09-15T10:49:31.641870,ryanair,vacation,DE10985785971549145687,DE29354508073743831293
1056,989.79,2021-06-30T10:49:31.641870,thanks,transfer,DE51728838437501118370,DE29354508073743831293
1066,601.76,2020-03-09T10:49:31.642256,Lokal,food,DE28254691836878919381,DE29354508073743831293
1075,335.46,2020-12-28T10:49:31.641870,thanks,transfer,DE93852973047302670654,DE29354508073743831293
1089,881.16,2019-10-16T10:49:31.641870,thanks,transfer,DE32132962269821718345,DE29354508073743831293
1096,981.32,2019-11-14T10:49:31.641870,booking.com,vacation,DE20117978677399847042,DE29354508073743831293
1107,650.27,2019-08-13T10:49:31.641870,Pasta Bar,food,DE29354508073743831293,DE29354508073743831293
1125,467.81,2021-10-21T10:49:31.641870,hotels.com,vacation,DE78690946739504309806,DE29354508073743831293
1133,501.66,2021-07-11T10:49:31.641870,Aldi,supermarket,DE33510125629974889896,DE29354508073743831293
1167,341.81,2020-05-08T10:49:31.641870,Cocolo Ramen,food,DE46175649932131791856,DE29354508073743831293
1170,374.27,2020-12-10T10:49:31.641870,Edeka,supermarket,DE33510125629974889896,DE29354508073743831293
1210,763.17,2020-02-28T10:49:31.641870,easyjet,vacation,DE82444435329779109646,DE29354508073743831293
1247,943.49,2019-08-20T10:49:31.641870,Cocolo Ramen,food,DE51728838437501118370,DE29354508073743831293
1255,410.72,2019-08-31T10:49:31.641870,hotels.com,vacation,DE32132962269821718345,DE29354508073743831293
1310,665.60,2019-11-15T10:49:31.642256,Pasta Bar,food,DE28254691836878919381,DE29354508073743831293
1318,425.39,2019-08-16T10:49:31.641870,thanks,transfer,DE20117978677399847042,DE29354508073743831293
1327,38.46,2021-12-20T10:49:31.641870,Pauly Saal,food,DE27235503909700305654,DE29354508073743831293
1372,430.16,2020-01-26T10:49:31.641870,Pauly Saal,food,DE32132962269821718345,DE29354508073743831293
1374,54.23,2021-07-06T10:49:31.641870,Vero Moda,clothes,DE98578335434393251543,DE29354508073743831293
1388,115.61,2021-11-13T10:49:31.641870,thanks,transfer,DE98578335434393251543,DE29354508073743831293
1400,141.51,2021-10-13T10:49:31.642256,Aldi,supermarket,DE28254691836878919381,DE29354508073743831293
1504,308.19,2021-01-18T10:49:31.641870,S.Oliver,clothes,DE22170806079195028710,DE29354508073743831293
1509,650.99,2020-05-18T10:49:31.641870,thanks,transfer,DE44305226222441557697,DE29354508073743831293
1519,439.38,2020-09-19T10:49:31.641870,Pasta Bar,food,DE76894768662419673111,DE29354508073743831293
1553,946.30,2020-07-29T10:49:31.641870,Zur Letzten Instanz,food,DE82444435329779109646,DE29354508073743831293
1559,861.54,2021-01-21T10:49:31.641870,Rewe,supermarket,DE50493093512418563495,DE29354508073743831293
1571,526.21,2021-06-20T10:49:31.641870,Vero Moda,clothes,DE28571102327654896575,DE29354508073743831293
1596,875.15,2021-05-16T10:49:31.641870,Pauly Saal,food,DE28571102327654896575,DE29354508073743831293
1629,377.25,2021-11-14T10:49:31.641870,CordoBar,food,DE70334119137743514093,DE29354508073743831293
1648,465.12,2020-10-26T10:49:31.641870,thanks,transfer,DE32132962269821718345,DE29354508073743831293
1679,655.37,2020-01-12T10:49:31.641870,thanks,transfer,DE46175649932131791856,DE29354508073743831293
1741,41.99,2019-09-17T10:49:31.641870,easyjet,vacation,DE29354508073743831293,DE29354508073743831293
1767,288.33,2020-09-21T10:49:31.641870,Esprit,clothes,DE67444719107381296569,DE29354508073743831293
1794,523.54,2020-04-01T10:49:31.641870,S.Oliver,clothes,DE77851065666584720184,DE29354508073743831293
1816,179.48,2021-05-18T10:49:31.641870,ryanair,vacation,DE28571102327654896575,DE29354508073743831293
1824,324.36,2019-10-02T10:49:31.641870,easyjet,vacation,DE98578335434393251543,DE29354508073743831293
1931,892.94,2021-05-29T10:49:31.641870,S.Oliver,clothes,DE22170806079195028710,DE29354508073743831293
12,688.27,2020-01-28T10:49:31.642279,easyjet,vacation,DE93852973047302670654,DE31852781254280985515
41,260.97,2020-07-14T10:49:31.642279,Aldi,supermarket,DE22170806079195028710,DE31852781254280985515
49,628.63,2020-05-31T10:49:31.642279,Vero Moda,clothes,DE50139821739297986888,DE31852781254280985515
74,369.87,2022-01-16T10:49:31.642279,Cocolo Ramen,food,DE50493093512418563495,DE31852781254280985515
93,935.34,2020-07-25T10:49:31.642279,Rewe,supermarket,DE78690946739504309806,DE31852781254280985515
97,978.37,2020-02-23T10:49:31.642279,S.Oliver,clothes,DE50561242036667643899,DE31852781254280985515
166,141.98,2021-02-22T10:49:31.642279,Zalando,clothes,DE50493093512418563495,DE31852781254280985515
204,131.37,2019-07-21T10:49:31.642279,Lokal,food,DE50493093512418563495,DE31852781254280985515
206,385.70,2021-05-26T10:49:31.642279,ryanair,vacation,DE98578335434393251543,DE31852781254280985515
232,830.80,2020-04-13T10:49:31.641870,Zeit für Brot,food,DE29354508073743831293,DE31852781254280985515
260,649.49,2019-09-27T10:49:31.642279,thanks,transfer,DE33510125629974889896,DE31852781254280985515
268,894.31,2020-03-23T10:49:31.642279,easyjet,vacation,DE82444435329779109646,DE31852781254280985515
277,519.48,2020-07-15T10:49:31.642279,Edeka,supermarket,DE77851065666584720184,DE31852781254280985515
283,55.68,2021-05-28T10:49:31.642279,Aldi,supermarket,DE10985785971549145687,DE31852781254280985515
295,463.18,2020-12-15T10:49:31.642256,Effing,food,DE28254691836878919381,DE31852781254280985515
304,606.31,2021-11-27T10:49:31.642279,Pasta Bar,food,DE28571102327654896575,DE31852781254280985515
335,911.35,2019-12-11T10:49:31.642279,thanks,transfer,DE28571102327654896575,DE31852781254280985515
365,103.89,2020-04-10T10:49:31.642279,hotels.com,vacation,DE98578335434393251543,DE31852781254280985515
411,94.87,2020-11-09T10:49:31.642256,Aldi,supermarket,DE28254691836878919381,DE31852781254280985515
423,962.47,2021-06-14T10:49:31.642279,Cocolo Ramen,food,DE98578335434393251543,DE31852781254280985515
430,337.70,2020-07-30T10:49:31.642279,Vero Moda,clothes,DE67444719107381296569,DE31852781254280985515
431,600.18,2019-11-11T10:49:31.642279,Edeka,supermarket,DE50139821739297986888,DE31852781254280985515
432,767.49,2021-08-21T10:49:31.642279,Zur Letzten Instanz,food,DE50493093512418563495,DE31852781254280985515
443,776.96,2020-02-17T10:49:31.642279,Edeka,supermarket,DE70334119137743514093,DE31852781254280985515
450,547.82,2021-05-29T10:49:31.642279,Cocolo Ramen,food,DE77851065666584720184,DE31852781254280985515
485,752.84,2021-10-15T10:49:31.642279,Vero Moda,clothes,DE82444435329779109646,DE31852781254280985515
528,933.93,2021-01-10T10:49:31.642279,Aldi,supermarket,DE98578335434393251543,DE31852781254280985515
541,727.95,2021-08-25T10:49:31.642279,Rewe,supermarket,DE10985785971549145687,DE31852781254280985515
542,133.26,2021-10-19T10:49:31.642279,ryanair,vacation,DE46175649932131791856,DE31852781254280985515
545,769.11,2019-11-22T10:49:31.642279,Zalando,clothes,DE82444435329779109646,DE31852781254280985515
547,939.68,2020-03-05T10:49:31.642279,Zalando,clothes,DE32132962269821718345,DE31852781254280985515
556,850.45,2021-11-04T10:49:31.642279,Zalando,clothes,DE51728838437501118370,DE31852781254280985515
568,194.24,2021-06-01T10:49:31.642279,thanks,transfer,DE98578335434393251543,DE31852781254280985515
579,210.88,2019-06-28T10:49:31.642279,Lokal,food,DE32132962269821718345,DE31852781254280985515
581,739.89,2019-08-06T10:49:31.642279,S.Oliver,clothes,DE44305226222441557697,DE31852781254280985515
614,863.77,2021-07-31T10:49:31.642279,Pauly Saal,food,DE92648558961468741310,DE31852781254280985515
642,416.55,2019-07-29T10:49:31.642279,thanks,transfer,DE51728838437501118370,DE31852781254280985515
658,30.96,2020-10-17T10:49:31.642279,Cocolo Ramen,food,DE67444719107381296569,DE31852781254280985515
682,842.54,2021-06-18T10:49:31.642279,Rewe,supermarket,DE20117978677399847042,DE31852781254280985515
694,164.38,2021-06-04T10:49:31.642279,thanks,transfer,DE50561242036667643899,DE31852781254280985515
702,352.54,2019-06-28T10:49:31.642279,Vero Moda,clothes,DE67444719107381296569,DE31852781254280985515
730,597.13,2020-05-29T10:49:31.642279,thanks,transfer,DE27235503909700305654,DE31852781254280985515
734,255.63,2021-12-08T10:49:31.642279,hotels.com,vacation,DE82444435329779109646,DE31852781254280985515
740,481.71,2022-01-09T10:49:31.642279,S.Oliver,clothes,DE32132962269821718345,DE31852781254280985515
758,305.45,2019-12-12T10:49:31.642279,Vero Moda,clothes,DE65403466947923029055,DE31852781254280985515
787,969.39,2021-05-09T10:49:31.642279,S.Oliver,clothes,DE28571102327654896575,DE31852781254280985515
790,779.55,2020-05-13T10:49:31.642279,Rewe,supermarket,DE10985785971549145687,DE31852781254280985515
801,448.83,2021-01-10T10:49:31.642279,Rewe,supermarket,DE28571102327654896575,DE31852781254280985515
811,646.31,2021-10-15T10:49:31.642279,thanks,transfer,DE77851065666584720184,DE31852781254280985515
837,442.80,2022-02-19T10:49:31.642279,Effing,food,DE51728838437501118370,DE31852781254280985515
863,209.12,2021-07-11T10:49:31.642279,Zur Letzten Instanz,food,DE92648558961468741310,DE31852781254280985515
891,926.86,2021-04-15T10:49:31.642279,easyjet,vacation,DE67444719107381296569,DE31852781254280985515
910,357.61,2019-08-28T10:49:31.642256,Pauly Saal,food,DE28254691836878919381,DE31852781254280985515
956,559.66,2019-09-30T10:49:31.642279,booking.com,vacation,DE32132962269821718345,DE31852781254280985515
1012,123.24,2020-09-13T10:49:31.641870,Pasta Bar,food,DE29354508073743831293,DE31852781254280985515
1040,446.83,2019-09-04T10:49:31.642279,S.Oliver,clothes,DE27235503909700305654,DE31852781254280985515
1073,382.87,2021-03-03T10:49:31.642279,Edeka,supermarket,DE78690946739504309806,DE31852781254280985515
1087,892.30,2019-12-25T10:49:31.642279,easyjet,vacation,DE50139821739297986888,DE31852781254280985515
1131,514.62,2021-03-18T10:49:31.642279,hotels.com,vacation,DE33510125629974889896,DE31852781254280985515
1145,305.22,2019-09-05T10:49:31.642279,Pasta Bar,food,DE93852973047302670654,DE31852781254280985515
1147,525.18,2021-10-07T10:49:31.641870,Zeit für Brot,food,DE29354508073743831293,DE31852781254280985515
1168,844.66,2021-07-23T10:49:31.642279,Zeit für Brot,food,DE28571102327654896575,DE31852781254280985515
1267,994.20,2021-08-12T10:49:31.642279,Zalando,clothes,DE50561242036667643899,DE31852781254280985515
1289,621.18,2019-09-29T10:49:31.642279,Pauly Saal,food,DE78690946739504309806,DE31852781254280985515
1335,274.48,2019-09-24T10:49:31.642279,thanks,transfer,DE50493093512418563495,DE31852781254280985515
1425,979.44,2021-10-09T10:49:31.642279,thanks,transfer,DE50139821739297986888,DE31852781254280985515
1440,172.63,2021-05-27T10:49:31.642279,Vero Moda,clothes,DE92648558961468741310,DE31852781254280985515
1560,477.37,2022-02-16T10:49:31.642279,Zalando,clothes,DE32132962269821718345,DE31852781254280985515
1561,239.87,2022-02-17T10:49:31.642279,booking.com,vacation,DE92648558961468741310,DE31852781254280985515
1567,768.78,2021-10-15T10:49:31.642279,Rewe,supermarket,DE10985785971549145687,DE31852781254280985515
1568,826.38,2019-11-19T10:49:31.642279,ryanair,vacation,DE50561242036667643899,DE31852781254280985515
1594,545.64,2020-04-20T10:49:31.642279,S.Oliver,clothes,DE67444719107381296569,DE31852781254280985515
1609,829.65,2021-01-28T10:49:31.642279,Rewe,supermarket,DE98578335434393251543,DE31852781254280985515
1688,673.91,2020-11-27T10:49:31.642279,Pauly Saal,food,DE76894768662419673111,DE31852781254280985515
1732,13.20,2021-03-31T10:49:31.642279,ryanair,vacation,DE31852781254280985515,DE31852781254280985515
1789,750.40,2019-10-29T10:49:31.642256,Rewe,supermarket,DE28254691836878919381,DE31852781254280985515
1809,662.32,2022-02-19T10:49:31.642279,Lokal,food,DE44305226222441557697,DE31852781254280985515
1815,700.37,2021-09-04T10:49:31.642279,thanks,transfer,DE76894768662419673111,DE31852781254280985515
1830,976.45,2019-11-26T10:49:31.642256,ryanair,vacation,DE28254691836878919381,DE31852781254280985515
1900,409.75,2020-12-27T10:49:31.642279,Zalando,clothes,DE78690946739504309806,DE31852781254280985515
1910,463.44,2019-11-01T10:49:31.642279,thanks,transfer,DE50561242036667643899,DE31852781254280985515
1925,844.92,2021-01-16T10:49:31.642279,ryanair,vacation,DE50139821739297986888,DE31852781254280985515
1966,956.24,2021-04-04T10:49:31.642279,Lokal,food,DE82444435329779109646,DE31852781254280985515
1974,89.54,2019-07-01T10:49:31.642279,Esprit,clothes,DE28571102327654896575,DE31852781254280985515
13,652.18,2017-04-09T10:49:31.642153,ryanair,vacation,DE32132962269821718345,DE32132962269821718345
80,456.49,2020-04-30T10:49:31.641870,Pasta Bar,food,DE29354508073743831293,DE32132962269821718345
95,873.20,2020-11-06T10:49:31.642065,Aldi,supermarket,DE44305226222441557697,DE32132962269821718345
118,898.78,2019-02-27T10:49:31.642193,S.Oliver,clothes,DE28571102327654896575,DE32132962269821718345
127,194.37,2018-01-01T10:49:31.642193,Esprit,clothes,DE28571102327654896575,DE32132962269821718345
176,71.80,2020-06-09T10:49:31.641981,Esprit,clothes,DE51728838437501118370,DE32132962269821718345
183,661.41,2021-04-02T10:49:31.642023,ryanair,vacation,DE27235503909700305654,DE32132962269821718345
186,136.67,2017-06-15T10:49:31.642235,easyjet,vacation,DE98578335434393251543,DE32132962269821718345
193,921.82,2021-09-03T10:49:31.642256,easyjet,vacation,DE28254691836878919381,DE32132962269821718345
242,254.12,2019-10-02T10:49:31.641937,Edeka,supermarket,DE67444719107381296569,DE32132962269821718345
264,87.89,2019-08-12T10:49:31.642279,hotels.com,vacation,DE31852781254280985515,DE32132962269821718345
325,183.85,2017-10-21T10:49:31.641828,Rewe,supermarket,DE50139821739297986888,DE32132962269821718345
343,980.13,2017-11-25T10:49:31.642129,Rewe,supermarket,DE65403466947923029055,DE32132962269821718345
355,297.73,2019-02-28T10:49:31.641806,Lokal,food,DE78690946739504309806,DE32132962269821718345
451,611.40,2021-09-02T10:49:31.642256,ryanair,vacation,DE28254691836878919381,DE32132962269821718345
452,873.13,2018-09-15T10:49:31.642129,Vero Moda,clothes,DE65403466947923029055,DE32132962269821718345
484,717.48,2020-05-30T10:49:31.642279,thanks,transfer,DE31852781254280985515,DE32132962269821718345
493,861.26,2019-07-29T10:49:31.642153,Aldi,supermarket,DE20117978677399847042,DE32132962269821718345
498,291.34,2017-12-24T10:49:31.642193,easyjet,vacation,DE28571102327654896575,DE32132962269821718345
503,865.81,2019-10-11T10:49:31.641784,Effing,food,DE76894768662419673111,DE32132962269821718345
510,652.10,2021-03-07T10:49:31.642065,S.Oliver,clothes,DE44305226222441557697,DE32132962269821718345
562,268.97,2021-07-13T10:49:31.641870,thanks,transfer,DE29354508073743831293,DE32132962269821718345
589,278.66,2020-01-30T10:49:31.642279,hotels.com,vacation,DE31852781254280985515,DE32132962269821718345
592,124.32,2019-06-02T10:49:31.642065,Zalando,clothes,DE44305226222441557697,DE32132962269821718345
613,52.17,2017-12-12T10:49:31.641828,easyjet,vacation,DE50139821739297986888,DE32132962269821718345
615,391.36,2020-04-26T10:49:31.642065,Zeit für Brot,food,DE44305226222441557697,DE32132962269821718345
641,955.35,2019-01-27T10:49:31.642108,hotels.com,vacation,DE46175649932131791856,DE32132962269821718345
652,127.47,2020-10-01T10:49:31.641958,Esprit,clothes,DE50561242036667643899,DE32132962269821718345
662,257.21,2019-07-06T10:49:31.641784,Aldi,supermarket,DE76894768662419673111,DE32132962269821718345
712,262.33,2019-11-22T10:49:31.642256,easyjet,vacation,DE28254691836878919381,DE32132962269821718345
741,171.95,2017-12-23T10:49:31.642153,Rewe,supermarket,DE20117978677399847042,DE32132962269821718345
767,827.40,2019-03-31T10:49:31.642153,Edeka,supermarket,DE32132962269821718345,DE32132962269821718345
768,658.35,2017-08-31T10:49:31.642235,Zalando,clothes,DE98578335434393251543,DE32132962269821718345
770,330.12,2017-05-29T10:49:31.641806,Esprit,clothes,DE78690946739504309806,DE32132962269821718345
808,582.16,2021-02-18T10:49:31.641784,booking.com,vacation,DE76894768662419673111,DE32132962269821718345
817,489.72,2020-12-11T10:49:31.641890,S.Oliver,clothes,DE10985785971549145687,DE32132962269821718345
850,314.80,2020-03-12T10:49:31.641784,Aldi,supermarket,DE76894768662419673111,DE32132962269821718345
859,970.40,2020-07-18T10:49:31.641721,thanks,transfer,DE82444435329779109646,DE32132962269821718345
873,889.62,2020-11-29T10:49:31.641870,Zeit für Brot,food,DE29354508073743831293,DE32132962269821718345
886,955.51,2018-12-20T10:49:31.642153,Pauly Saal,food,DE92648558961468741310,DE32132962269821718345
970,21.45,2018-08-21T10:49:31.642153,thanks,transfer,DE20117978677399847042,DE32132962269821718345
985,673.29,2018-11-09T10:49:31.642129,Zalando,clothes,DE65403466947923029055,DE32132962269821718345
987,163.99,2020-09-14T10:49:31.642108,Aldi,supermarket,DE46175649932131791856,DE32132962269821718345
990,151.82,2020-01-25T10:49:31.641721,Rewe,supermarket,DE82444435329779109646,DE32132962269821718345
1037,321.19,2018-12-08T10:49:31.642153,Zeit für Brot,food,DE20117978677399847042,DE32132962269821718345
1064,299.51,2019-02-01T10:49:31.641721,Edeka,supermarket,DE82444435329779109646,DE32132962269821718345
1065,318.96,2019-01-15T10:49:31.641958,Zeit für Brot,food,DE50561242036667643899,DE32132962269821718345
1102,981.57,2017-11-12T10:49:31.642235,booking.com,vacation,DE98578335434393251543,DE32132962269821718345
1142,998.22,2018-01-20T10:49:31.642153,Pauly Saal,food,DE20117978677399847042,DE32132962269821718345
1149,441.52,2022-02-12T10:49:31.641870,Pauly Saal,food,DE29354508073743831293,DE32132962269821718345
1151,533.11,2017-10-21T10:49:31.642153,Lokal,food,DE32132962269821718345,DE32132962269821718345
1176,561.65,2019-06-15T10:49:31.642023,thanks,transfer,DE27235503909700305654,DE32132962269821718345
1232,10.50,2018-10-24T10:49:31.641763,Rewe,supermarket,DE70334119137743514093,DE32132962269821718345
1249,849.56,2020-03-16T10:49:31.641721,Zalando,clothes,DE82444435329779109646,DE32132962269821718345
1256,645.48,2019-07-18T10:49:31.641870,thanks,transfer,DE29354508073743831293,DE32132962269821718345
1263,539.11,2019-05-08T10:49:31.642023,Lokal,food,DE27235503909700305654,DE32132962269821718345
1298,579.62,2019-02-03T10:49:31.642153,Pasta Bar,food,DE32132962269821718345,DE32132962269821718345
1323,142.95,2019-02-26T10:49:31.641958,Esprit,clothes,DE50561242036667643899,DE32132962269821718345
1333,571.51,2018-02-18T10:49:31.642153,Vero Moda,clothes,DE92648558961468741310,DE32132962269821718345
1368,383.87,2017-10-13T10:49:31.641828,CordoBar,food,DE50139821739297986888,DE32132962269821718345
1383,298.47,2020-01-29T10:49:31.642023,Edeka,supermarket,DE27235503909700305654,DE32132962269821718345
1393,334.78,2019-06-29T10:49:31.642065,Pauly Saal,food,DE44305226222441557697,DE32132962269821718345
1399,873.48,2021-02-02T10:49:31.641848,booking.com,vacation,DE77851065666584720184,DE32132962269821718345
1402,578.65,2018-05-18T10:49:31.641763,Aldi,supermarket,DE70334119137743514093,DE32132962269821718345
1420,368.75,2019-06-20T10:49:31.641890,CordoBar,food,DE10985785971549145687,DE32132962269821718345
1423,961.84,2020-10-05T10:49:31.641958,easyjet,vacation,DE50561242036667643899,DE32132962269821718345
1443,713.38,2018-06-27T10:49:31.642087,Vero Moda,clothes,DE50493093512418563495,DE32132962269821718345
1462,196.21,2020-03-28T10:49:31.641890,Edeka,supermarket,DE10985785971549145687,DE32132962269821718345
1468,748.99,2020-04-04T10:49:31.642174,Aldi,supermarket,DE33510125629974889896,DE32132962269821718345
1479,796.29,2018-09-07T10:49:31.642193,thanks,transfer,DE28571102327654896575,DE32132962269821718345
1512,939.41,2020-01-19T10:49:31.642023,Pasta Bar,food,DE27235503909700305654,DE32132962269821718345
1556,157.25,2019-06-05T10:49:31.642087,thanks,transfer,DE50493093512418563495,DE32132962269821718345
1638,432.90,2018-05-17T10:49:31.642153,Edeka,supermarket,DE92648558961468741310,DE32132962269821718345
1681,253.89,2018-06-03T10:49:31.642129,thanks,transfer,DE65403466947923029055,DE32132962269821718345
1682,202.33,2018-03-21T10:49:31.642153,S.Oliver,clothes,DE32132962269821718345,DE32132962269821718345
1720,64.62,2019-10-17T10:49:31.641784,Aldi,supermarket,DE76894768662419673111,DE32132962269821718345
1721,29.71,2019-09-27T10:49:31.641937,Aldi,supermarket,DE67444719107381296569,DE32132962269821718345
1724,290.84,2019-02-05T10:49:31.641848,easyjet,vacation,DE77851065666584720184,DE32132962269821718345
1735,282.15,2019-10-24T10:49:31.641870,thanks,transfer,DE29354508073743831293,DE32132962269821718345
1736,912.90,2017-12-10T10:49:31.641937,easyjet,vacation,DE67444719107381296569,DE32132962269821718345
1779,345.20,2018-12-04T10:49:31.642193,Esprit,clothes,DE28571102327654896575,DE32132962269821718345
1813,958.74,2017-12-27T10:49:31.641937,thanks,transfer,DE67444719107381296569,DE32132962269821718345
1826,783.12,2020-10-03T10:49:31.641721,Zur Letzten Instanz,food,DE82444435329779109646,DE32132962269821718345
1832,498.27,2018-05-03T10:49:31.642153,Pauly Saal,food,DE92648558961468741310,DE32132962269821718345
1848,810.61,2020-03-07T10:49:31.641828,Zalando,clothes,DE50139821739297986888,DE32132962269821718345
1864,824.79,2020-03-09T10:49:31.641890,Zeit für Brot,food,DE10985785971549145687,DE32132962269821718345
1920,992.56,2018-12-23T10:49:31.642087,CordoBar,food,DE50493093512418563495,DE32132962269821718345
1934,622.11,2018-10-08T10:49:31.641916,thanks,transfer,DE93852973047302670654,DE32132962269821718345
1955,870.14,2019-11-01T10:49:31.642065,S.Oliver,clothes,DE44305226222441557697,DE32132962269821718345
1971,582.26,2017-03-25T10:49:31.641806,Zeit für Brot,food,DE78690946739504309806,DE32132962269821718345
1993,523.20,2020-01-21T10:49:31.642193,thanks,transfer,DE28571102327654896575,DE32132962269821718345
19,189.41,2021-02-16T10:49:31.641848,ryanair,vacation,DE77851065666584720184,DE33510125629974889896
20,733.64,2019-08-13T10:49:31.641721,Pasta Bar,food,DE82444435329779109646,DE33510125629974889896
23,273.73,2018-04-18T10:49:31.642174,Esprit,clothes,DE78690946739504309806,DE33510125629974889896
51,284.53,2019-10-20T10:49:31.642174,Aldi,supermarket,DE20117978677399847042,DE33510125629974889896
54,423.72,2020-01-18T10:49:31.642256,Aldi,supermarket,DE28254691836878919381,DE33510125629974889896
114,532.47,2018-06-18T10:49:31.641916,hotels.com,vacation,DE93852973047302670654,DE33510125629974889896
170,962.53,2021-06-06T10:49:31.641958,Pauly Saal,food,DE50561242036667643899,DE33510125629974889896
230,89.95,2019-02-24T10:49:31.642000,Pasta Bar,food,DE22170806079195028710,DE33510125629974889896
238,289.51,2020-09-06T10:49:31.641721,Edeka,supermarket,DE82444435329779109646,DE33510125629974889896
303,732.90,2019-06-05T10:49:31.642174,Zalando,clothes,DE50139821739297986888,DE33510125629974889896
328,112.65,2020-08-20T10:49:31.642174,Zalando,clothes,DE65403466947923029055,DE33510125629974889896
339,159.12,2019-09-30T10:49:31.642174,thanks,transfer,DE33510125629974889896,DE33510125629974889896
371,765.44,2019-04-26T10:49:31.642174,thanks,transfer,DE70334119137743514093,DE33510125629974889896
375,762.18,2018-07-08T10:49:31.642174,Edeka,supermarket,DE98578335434393251543,DE33510125629974889896
404,980.63,2020-10-13T10:49:31.642174,thanks,transfer,DE92648558961468741310,DE33510125629974889896
424,569.19,2020-01-09T10:49:31.642174,Rewe,supermarket,DE92648558961468741310,DE33510125629974889896
442,740.75,2021-01-28T10:49:31.641890,Pasta Bar,food,DE10985785971549145687,DE33510125629974889896
475,544.58,2018-06-28T10:49:31.642174,Aldi,supermarket,DE92648558961468741310,DE33510125629974889896
497,804.39,2019-11-16T10:49:31.642174,Pauly Saal,food,DE67444719107381296569,DE33510125629974889896
567,109.14,2019-08-13T10:49:31.642108,thanks,transfer,DE46175649932131791856,DE33510125629974889896
616,457.46,2020-03-21T10:49:31.642174,Aldi,supermarket,DE51728838437501118370,DE33510125629974889896
618,326.78,2019-02-19T10:49:31.642174,Aldi,supermarket,DE50139821739297986888,DE33510125629974889896
647,744.95,2018-03-19T10:49:31.642174,Vero Moda,clothes,DE32132962269821718345,DE33510125629974889896
708,617.30,2020-04-18T10:49:31.642174,thanks,transfer,DE28571102327654896575,DE33510125629974889896
726,595.31,2020-04-27T10:49:31.642065,Lokal,food,DE44305226222441557697,DE33510125629974889896
756,279.14,2020-11-22T10:49:31.642087,Edeka,supermarket,DE50493093512418563495,DE33510125629974889896
786,254.98,2020-05-20T10:49:31.642174,Pasta Bar,food,DE51728838437501118370,DE33510125629974889896
791,968.51,2019-12-01T10:49:31.642174,CordoBar,food,DE70334119137743514093,DE33510125629974889896
902,319.19,2020-01-19T10:49:31.641916,Effing,food,DE93852973047302670654,DE33510125629974889896
903,184.29,2019-02-21T10:49:31.642174,booking.com,vacation,DE32132962269821718345,DE33510125629974889896
934,427.76,2019-01-20T10:49:31.642174,hotels.com,vacation,DE70334119137743514093,DE33510125629974889896
964,426.30,2018-06-29T10:49:31.642174,Esprit,clothes,DE65403466947923029055,DE33510125629974889896
